i,n,lat,lon
529,5141824853,-3.7657613,-38.5585421
530,7030310249,-3.806442,-38.621424
531,1991771536,-3.7332241,-38.4805279
532,1991771538,-3.7350753,-38.4833766
533,1991771540,-3.7353022,-38.4827182
534,3013084567,-3.7287693,-38.5164674
535,1991771547,-3.7334703,-38.4806358
536,2279081375,-3.7513758,-38.5262958
537,1194329525,-3.8274317,-38.623946
538,2279081403,-3.7534309,-38.5246574
539,2279081404,-3.7528623,-38.5252529
540,616927703,-3.7770376,-38.490434
541,6215042521,-3.8310167,-38.5345888
542,7065044444,-3.8222935,-38.5274488
543,7192446482,-3.8302994,-38.5602245
544,1194329648,-3.827768,-38.6248388
545,2855536179,-3.808033,-38.5470326
546,1893729844,-3.8138312,-38.5399701
547,2855536187,-3.810288,-38.5468471
548,2855536188,-3.8093251,-38.5465069
549,2855536189,-3.8087183,-38.5472755
550,2855536190,-3.8091351,-38.5461133
551,2855536192,-3.809489,-38.5451615
552,2855536193,-3.8098985,-38.5460251
553,2855536195,-3.8103678,-38.5463035
554,2855536196,-3.8107699,-38.5450734
555,2855536197,-3.8111101,-38.54492
556,2855536198,-3.8116553,-38.5445108
557,2855536199,-3.8116778,-38.5445562
558,2862220901,-3.8577383,-38.5011846
559,1668155047,-3.8323655,-38.4990305
560,1668155048,-3.8370136,-38.4991187
561,1668155049,-3.8377232,-38.4991255
562,1668155050,-3.833342,-38.4990431
563,4987291309,-3.7789285,-38.5179032
564,1668155054,-3.8384392,-38.4991293
565,1668155055,-3.8362755,-38.4990965
566,1668155056,-3.8347864,-38.499071
567,1668155053,-3.8387175,-38.499139
568,3737913029,-3.8563814,-38.6417629
569,3737913031,-3.8578576,-38.6431829
570,3737913032,-3.8585735,-38.6438735
571,3737913033,-3.8593368,-38.6445956
572,3737913034,-3.8600467,-38.645307
573,3737913035,-3.8607761,-38.6459955
574,3737913036,-3.8615104,-38.6467163
575,3737913037,-3.8629584,-38.6481011
576,3737913038,-3.8637026,-38.6487957
577,3737913039,-3.8644038,-38.6494893
578,6784026335,-3.6927212,-38.6408738
579,2863009414,-3.8445039,-38.5064079
580,2852783846,-3.7393711,-38.5454812
581,2852783849,-3.7391564,-38.5454453
582,2852783850,-3.7390474,-38.544535
583,2852783854,-3.7431524,-38.5452408
584,2852783855,-3.7438433,-38.5444838
585,2387347225,-3.7579925,-38.5367915
586,2797209389,-3.7064652,-38.5883643
587,2797209390,-3.7083326,-38.5899793
588,2797209391,-3.7086927,-38.5896111
589,3895461693,-3.8487063,-38.6100497
590,3895461694,-3.8482592,-38.6139265
591,3895461695,-3.8490059,-38.6124401
592,3895461696,-3.848162,-38.612009
593,3895461697,-3.8489327,-38.610557
594,3975677762,-3.7919241,-38.6600626
595,3975677763,-3.7928155,-38.6600156
596,3975677764,-3.7928725,-38.6592517
597,6215960408,-3.7583094,-38.6388509
598,6215960409,-3.7586167,-38.6390595
599,5253367640,-3.7473586,-38.4933542
600,5253367643,-3.7478089,-38.4924134
601,7180519264,-3.7662106,-38.4389426
